order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2388705,Unattributed,unattributed,2024-01-26 03:26:31+00:00,2024-01-26 03:26:31+00:00,0,2,2
2388719,Organic Search,referral,2024-01-26 03:34:03+00:00,2024-01-24 22:18:13.562000+00:00,1,3,1
2388719,Facebook Ads,fb,2024-01-26 03:34:03+00:00,2024-01-26 03:30:50.436000+00:00,0,3,2
2388719,Unattributed,unattributed,2024-01-26 03:34:03+00:00,2024-01-26 03:34:03+00:00,0,3,3
2388725,Facebook Ads,fb,2024-01-26 03:38:51+00:00,2024-01-26 03:27:45.689000+00:00,0,2,1
2388725,Unattributed,unattributed,2024-01-26 03:38:51+00:00,2024-01-26 03:38:51+00:00,0,2,2
2388735,Facebook Ads,fb,2024-01-26 03:46:52+00:00,2024-01-12 23:24:10.766000+00:00,13,8,1
2388735,Google Ads,adwords,2024-01-26 03:46:52+00:00,2024-01-18 07:40:50.815000+00:00,7,8,2
2388735,Facebook Ads,fb,2024-01-26 03:46:52+00:00,2024-01-18 13:02:09.648000+00:00,7,8,3
2388735,Facebook Ads,fb,2024-01-26 03:46:52+00:00,2024-01-18 19:43:17.984000+00:00,7,8,4
2388735,Facebook Ads,fb,2024-01-26 03:46:52+00:00,2024-01-18 20:35:01.914000+00:00,7,8,5
2388735,Facebook Ads,fb,2024-01-26 03:46:52+00:00,2024-01-18 22:27:43.018000+00:00,7,8,6
2388735,Facebook Ads,fb,2024-01-26 03:46:52+00:00,2024-01-25 04:06:32.036000+00:00,0,8,7
2388735,Unattributed,unattributed,2024-01-26 03:46:52+00:00,2024-01-26 03:46:52+00:00,0,8,8
2388753,Unattributed,unattributed,2024-01-26 03:55:47+00:00,2024-01-26 03:55:47+00:00,0,1,1
2388760,Disco,utm medium - disco_paid,2024-01-26 04:01:51+00:00,2024-01-25 23:00:10.904000+00:00,0,2,1
2388760,Unattributed,unattributed,2024-01-26 04:01:51+00:00,2024-01-26 04:01:51+00:00,0,2,2
2388773,Rakuten,utm medium -,2024-01-26 04:09:16+00:00,2024-01-26 03:33:19.866000+00:00,0,2,1
2388773,Unattributed,unattributed,2024-01-26 04:09:16+00:00,2024-01-26 04:09:16+00:00,0,2,2
2388794,Unattributed,unattributed,2024-01-26 04:37:17+00:00,2024-01-26 04:37:17+00:00,0,1,1
2388831,Facebook Ads,fb,2024-01-26 05:52:44+00:00,2024-01-17 07:15:42.024000+00:00,8,6,1
2388831,Facebook Organic,fb,2024-01-26 05:52:44+00:00,2024-01-23 04:12:22.986000+00:00,3,6,2
2388831,Facebook Organic,fb,2024-01-26 05:52:44+00:00,2024-01-23 15:58:33.173000+00:00,2,6,3
2388831,Facebook Ads,fb,2024-01-26 05:52:44+00:00,2024-01-25 15:12:36.746000+00:00,0,6,4
2388831,Facebook Ads,fb,2024-01-26 05:52:44+00:00,2024-01-26 01:53:50.405000+00:00,0,6,5
2388831,Unattributed,unattributed,2024-01-26 05:52:44+00:00,2024-01-26 05:52:44+00:00,0,6,6
2388874,Unattributed,unattributed,2024-01-26 08:00:25+00:00,2024-01-26 08:00:25+00:00,0,1,1
2388898,Facebook Ads,fb,2024-01-26 10:29:09+00:00,2024-01-26 10:18:26.639000+00:00,0,2,1
2388898,Unattributed,unattributed,2024-01-26 10:29:09+00:00,2024-01-26 10:29:09+00:00,0,2,2
2388922,Klaviyo,utm medium - email,2024-01-26 11:24:38+00:00,2024-01-14 14:29:26.226000+00:00,11,8,1
2388922,Klaviyo,utm medium - email,2024-01-26 11:24:38+00:00,2024-01-15 02:55:45.653000+00:00,11,8,2
2388922,Facebook Ads,fb,2024-01-26 11:24:38+00:00,2024-01-20 05:03:11.222000+00:00,6,8,3
2388922,Facebook Ads,fb,2024-01-26 11:24:38+00:00,2024-01-23 18:06:39.593000+00:00,2,8,4
2388922,Facebook Ads,fb,2024-01-26 11:24:38+00:00,2024-01-24 13:45:43.225000+00:00,1,8,5
2388922,Klaviyo,utm medium - email,2024-01-26 11:24:38+00:00,2024-01-25 14:07:09.037000+00:00,0,8,6
2388922,Klaviyo,utm medium - email,2024-01-26 11:24:38+00:00,2024-01-26 10:11:49.820000+00:00,0,8,7
2388922,Unattributed,unattributed,2024-01-26 11:24:38+00:00,2024-01-26 11:24:38+00:00,0,8,8
2388953,Disco,utm medium - disco_paid,2024-01-26 12:11:46+00:00,2024-01-26 11:55:20.921000+00:00,0,2,1
2388953,Unattributed,unattributed,2024-01-26 12:11:46+00:00,2024-01-26 12:11:46+00:00,0,2,2
2388962,Facebook Ads,fb,2024-01-26 12:20:48+00:00,2024-01-19 11:24:37.270000+00:00,7,2,1
2388962,Unattributed,unattributed,2024-01-26 12:20:48+00:00,2024-01-26 12:20:48+00:00,0,2,2
2389046,MNTN,mntn,2024-01-26 13:26:33+00:00,2024-01-23 20:35:31.906000+00:00,2,4,1
2389046,MNTN,mntn,2024-01-26 13:26:33+00:00,2024-01-25 20:59:33.245000+00:00,0,4,2
2389046,Google Ads,adwords,2024-01-26 13:26:33+00:00,2024-01-26 13:13:08.992000+00:00,0,4,3
2389046,Unattributed,unattributed,2024-01-26 13:26:33+00:00,2024-01-26 13:26:33+00:00,0,4,4
2389049,Instagram Shop,utm medium - Social,2024-01-26 13:30:09+00:00,2024-01-26 11:30:33.544000+00:00,0,3,1
2389049,Facebook Ads,fb,2024-01-26 13:30:09+00:00,2024-01-26 13:11:21.047000+00:00,0,3,2
2389049,Unattributed,unattributed,2024-01-26 13:30:09+00:00,2024-01-26 13:30:09+00:00,0,3,3
